model,ens,exp,postprocess,table,grid,varn,period,mean
CNRM-ESM2-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2011-2020,1.13
CanESM5-CanOE,r1i1p2f1,ssp585,global_mean,Amon,gn,tas,2011-2020,2.09
CanESM5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.90
E3SM-1-1,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.24
EC-Earth3-CC,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.73
EC-Earth3-Veg-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.31
EC-Earth3-Veg,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.79
EC-Earth3,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.40
FGOALS-f3-L,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.47
FGOALS-g3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.34
FIO-ESM-2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.63
GFDL-CM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2011-2020,1.20
GFDL-ESM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2011-2020,1.00
GISS-E2-1-G,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2011-2020,1.49
HadGEM3-GC31-LL,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2011-2020,1.54
HadGEM3-GC31-MM,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2011-2020,1.29
IITM-ESM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.19
INM-CM4-8,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2011-2020,1.20
INM-CM5-0,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2011-2020,1.16
IPSL-CM6A-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.59
KACE-1-0-G,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.85
KIOST-ESM,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2011-2020,1.58
MCM-UA-1-0,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2011-2020,1.50
MIROC6,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,0.96
MIROC-ES2L,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2011-2020,1.02
MPI-ESM1-2-HR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.21
MPI-ESM1-2-LR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.16
MRI-ESM2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.27
NESM3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.50
NorESM2-LM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,0.94
NorESM2-MM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,0.88
TaiESM1,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.12
UKESM1-0-LL,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2011-2020,1.37
ACCESS-CM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.69
ACCESS-ESM1-5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.65
AWI-CM-1-1-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.86
BCC-CSM2-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.50
CAMS-CSM1-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.20
CESM2-WACCM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.88
CESM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.80
CIESM,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2021-2030,2.06
CMCC-CM2-SR5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,1.85
CNRM-CM6-1-HR,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2021-2030,2.04
CNRM-CM6-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2021-2030,1.63
CNRM-ESM2-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2021-2030,1.46
CanESM5-CanOE,r1i1p2f1,ssp585,global_mean,Amon,gn,tas,2021-2030,2.63
CanESM5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2021-2030,2.40
