model,ens,exp,postprocess,table,varn,period,mean
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.67
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.75
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,2.34
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.86
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.32
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.21
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.68
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.21
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,2.25
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,2.04
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.54
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.72
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.72
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.22
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.44
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.42
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.96
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.84
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,2.22
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.85
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.99
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.72
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.78
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,2.30
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.90
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.31
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.04
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.67
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.15
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,2.28
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,2.05
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.54
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.75
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.71
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.27
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.42
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.41
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.87
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2061-2070,1.83
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,2.17
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.86
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,2.00
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.69
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.86
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,2.28
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.92
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.22
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,0.93
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.62
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.10
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,2.30
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.97
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.54
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.68
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.66
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.37
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.43
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.44
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.83
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2071-2080,1.73
